algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,stateless_full,frame_total,64,1,16,7,2001,1,6144,64,593.153,600,600,600,10600,1685904.457,2341.576,0,0,0,1536,768,0,2304,3,6648653010458486639
derived_vectors,change_density,stateful_event,frame_total,64,1,16,7,2001,1,96,1,49.475,0,100,100,100,20212121.212,290.209,0,0,0,2304,0,28,2332,4,6648653010458486639
derived_vectors,change_density,tick_selective,frame_total,64,1,16,7,2001,1,96,1,100.650,100,100,200,200,9935451.837,482.608,0,0,0,2816,0,28,2844,3,6648653010458486639
derived_vectors,change_density,stateless_full,tick_only,64,1,16,7,2001,1,6144,64,610.445,600,700,800,21900,1638149.816,2406.213,0,0,0,1536,768,0,2304,3,6648653010458486639
derived_vectors,change_density,stateful_event,tick_only,64,1,16,7,2001,1,96,1,24.238,0,100,100,100,41257731.959,312.576,0,0,0,2304,0,28,2332,4,6648653010458486639
derived_vectors,change_density,tick_selective,tick_only,64,1,16,7,2001,1,96,1,104.198,100,100,200,5600,9597122.302,510.662,0,0,0,2816,0,28,2844,3,6648653010458486639
derived_vectors,change_density,stateless_full,frame_total,64,1,16,8,2001,1,6144,64,599.800,600,600,700,17000,1667222.130,2364.702,0,0,0,1536,768,0,2304,3,5766082448286180132
derived_vectors,change_density,stateful_event,frame_total,64,1,16,8,2001,1,96,1,55.372,100,100,100,10700,18059566.787,301.203,0,0,0,2304,0,28,2332,4,5766082448286180132
derived_vectors,change_density,tick_selective,frame_total,64,1,16,8,2001,1,96,1,99.550,100,100,100,200,10045180.723,481.850,0,0,0,2816,0,28,2844,3,5766082448286180132
derived_vectors,change_density,stateless_full,tick_only,64,1,16,8,2001,1,6144,64,590.655,600,600,600,11100,1693036.636,2344.230,0,0,0,1536,768,0,2304,3,5766082448286180132
derived_vectors,change_density,stateful_event,tick_only,64,1,16,8,2001,1,96,1,22.989,0,100,100,100,43500000.000,301.582,0,0,0,2304,0,28,2332,4,5766082448286180132
derived_vectors,change_density,tick_selective,tick_only,64,1,16,8,2001,1,96,1,101.899,100,100,100,9600,9813634.134,498.341,0,0,0,2816,0,28,2844,3,5766082448286180132
derived_vectors,change_density,stateless_full,frame_total,64,1,16,9,2001,1,6144,64,594.553,600,600,600,9600,1681936.623,2345.556,0,0,0,1536,768,0,2304,3,15179250986569964005
derived_vectors,change_density,stateful_event,frame_total,64,1,16,9,2001,1,96,1,49.825,0,100,100,100,20070210.632,290.209,0,0,0,2304,0,28,2332,4,15179250986569964005
derived_vectors,change_density,tick_selective,frame_total,64,1,16,9,2001,1,96,1,100.700,100,100,200,200,9930521.092,480.333,0,0,0,2816,0,28,2844,3,15179250986569964005
derived_vectors,change_density,stateless_full,tick_only,64,1,16,9,2001,1,6144,64,603.148,600,600,800,14400,1657966.692,2384.984,0,0,0,1536,768,0,2304,3,15179250986569964005
derived_vectors,change_density,stateful_event,tick_only,64,1,16,9,2001,1,96,1,23.188,0,100,100,100,43125000.000,301.772,0,0,0,2304,0,28,2332,4,15179250986569964005
derived_vectors,change_density,tick_selective,tick_only,64,1,16,9,2001,1,96,1,97.751,100,100,100,200,10230061.350,488.294,0,0,0,2816,0,28,2844,3,15179250986569964005
derived_vectors,change_density,stateless_full,frame_total,64,1,16,10,2001,1,6144,64,595.602,600,600,600,12300,1678972.982,2348.779,0,0,0,1536,768,0,2304,3,1639975339112298202
derived_vectors,change_density,stateful_event,frame_total,64,1,16,10,2001,1,96,1,50.025,100,100,100,100,19990009.990,301.014,0,0,0,2304,0,28,2332,4,1639975339112298202
derived_vectors,change_density,tick_selective,frame_total,64,1,16,10,2001,1,96,1,100.450,100,100,200,200,9955223.881,480.333,0,0,0,2816,0,28,2844,3,1639975339112298202
derived_vectors,change_density,stateless_full,tick_only,64,1,16,10,2001,1,6144,64,594.303,600,600,800,9100,1682643.794,2362.807,0,0,0,1536,768,0,2304,3,1639975339112298202
derived_vectors,change_density,stateful_event,tick_only,64,1,16,10,2001,1,96,1,23.038,0,100,100,100,43405639.913,301.772,0,0,0,2304,0,28,2332,4,1639975339112298202
derived_vectors,change_density,tick_selective,tick_only,64,1,16,10,2001,1,96,1,112.194,100,200,300,9600,8913140.312,538.716,0,0,0,2816,0,28,2844,3,1639975339112298202
derived_vectors,change_density,stateless_full,frame_total,64,1,16,11,2001,1,6144,64,602.299,600,600,600,13700,1660305.344,2353.897,0,0,0,1536,768,0,2304,3,1078423901359719693
derived_vectors,change_density,stateful_event,frame_total,64,1,16,11,2001,1,96,1,49.725,0,100,100,100,20110552.764,290.968,0,0,0,2304,0,28,2332,4,1078423901359719693
derived_vectors,change_density,tick_selective,frame_total,64,1,16,11,2001,1,96,1,101.299,100,100,200,400,9871731.623,487.346,0,0,0,2816,0,28,2844,3,1078423901359719693
derived_vectors,change_density,stateless_full,tick_only,64,1,16,11,2001,1,6144,64,630.685,600,700,900,21500,1585578.447,2496.632,0,0,0,1536,768,0,2304,3,1078423901359719693
derived_vectors,change_density,stateful_event,tick_only,64,1,16,11,2001,1,96,1,25.287,0,100,100,4700,39545454.545,307.269,0,0,0,2304,0,28,2332,4,1078423901359719693
derived_vectors,change_density,tick_selective,tick_only,64,1,16,11,2001,1,96,1,97.451,100,100,100,200,10261538.462,489.621,0,0,0,2816,0,28,2844,3,1078423901359719693
derived_vectors,change_density,stateless_full,frame_total,64,10,16,1,2001,7,6144,64,603.698,600,600,600,12400,1656456.954,2433.321,0,0,0,1536,768,0,2304,3,2878163916429624044
derived_vectors,change_density,stateful_event,frame_total,64,10,16,1,2001,7,672,7,211.044,200,300,300,3900,4738337.675,960.477,0,0,0,2304,0,196,2500,4,2878163916429624044
derived_vectors,change_density,tick_selective,frame_total,64,10,16,1,2001,7,672,7,154.623,200,200,200,200,6467356.173,759.738,0,0,0,2816,0,196,3012,3,2878163916429624044
derived_vectors,change_density,stateless_full,tick_only,64,10,16,1,2001,7,6144,64,590.155,600,600,600,9400,1694470.319,2415.312,0,0,0,1536,768,0,2304,3,2878163916429624044
derived_vectors,change_density,stateful_event,tick_only,64,10,16,1,2001,7,672,7,23.338,0,100,100,100,42847965.739,928.631,0,0,0,2304,0,196,2500,4,2878163916429624044
derived_vectors,change_density,tick_selective,tick_only,64,10,16,1,2001,7,672,7,141.929,100,200,200,200,7045774.648,735.095,0,0,0,2816,0,196,3012,3,2878163916429624044
