algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
rolling_max,full_recompute,continuous,4,11,3.8023636363636366,3.5919598900344845,4.012767382692789,0.0,100.0,100.0,27000.0,263372990.646,14.381,0.001,0.00027272727272727274,0.0,0,16,0,16,explicit_incremental,0.43973211938980417,-56.02678806101958
rolling_max,full_recompute,continuous,16,11,10.720454545454546,10.086335032476331,11.35457405843276,0.0,100.0,100.0,6081300.0,97867380.802,38.669,0.011454545454545455,0.0047272727272727275,0.00045454545454545455,0,64,0,64,explicit_incremental,0.8750936871553983,-12.490631284460175
rolling_max,full_recompute,continuous,64,11,18.398545454545456,14.242131038495431,22.554959870595482,0.0,100.0,100.0,5052900.0,59045238.494,56.587,0.023363636363636364,0.012363636363636363,0.0016363636363636363,0,256,0,256,explicit_incremental,1.0527728504621852,5.277285046218516
rolling_max,full_recompute,continuous,256,11,64.16436363636363,33.403477699556355,94.9252495731709,100.0,100.0,100.0,13781000.0,21296306.156,145.974,0.034545454545454546,0.017727272727272727,0.003363636363636364,0,1024,0,1024,explicit_incremental,3.3204649915554447,232.04649915554447
rolling_max,full_recompute,continuous,1024,11,201.45709090909088,143.3653213183164,259.5488604998654,200.0,200.0,200.0,16722600.0,5947141.804,521.101,0.106,0.05209090909090909,0.007818181818181818,0,4096,0,4096,explicit_incremental,10.297862848698609,929.7862848698609
rolling_max,full_recompute,continuous,4096,11,820.361,626.8385479527632,1013.8834520472368,700.0,900.0,1100.0,11354000.0,1082735.032,2648.887,1.2277272727272728,0.24209090909090908,0.036272727272727276,0,16384,0,16384,explicit_incremental,40.170453432572714,3917.0453432572713
rolling_max,hidden_incremental,continuous,4,11,11.602545454545455,11.434482931877627,11.770607977213283,0.0,100.0,100.0,57600.0,86514171.021,43.773,0.0027272727272727275,0.0007272727272727272,0.0,96,0,0,8,,,
rolling_max,hidden_incremental,continuous,16,11,15.283454545454545,12.383165411327205,18.183743679581884,0.0,100.0,100.0,72600.0,77866122.181,48.643,0.008181818181818182,0.0027272727272727275,0.0,240,0,0,8,,,
rolling_max,hidden_incremental,continuous,64,11,16.026727272727275,13.82556106066905,18.227893484785497,0.0,100.0,100.0,582000.0,63887557.898,53.933,0.027363636363636364,0.011,0.0009090909090909091,816,0,0,8,,,
rolling_max,hidden_incremental,continuous,256,11,24.05390909090909,15.721569053969885,32.386249127848295,0.0,100.0,100.0,2067600.0,48764176.443,53.948,0.018727272727272728,0.009909090909090909,0.0015454545454545454,3120,0,0,8,,,
rolling_max,hidden_incremental,continuous,1024,11,25.963727272727272,11.673508757117128,40.25394578833742,0.0,100.0,100.0,1007700.0,63319192.047,53.304,0.02727272727272727,0.013181818181818182,0.0016363636363636363,12336,0,0,8,,,
rolling_max,hidden_incremental,continuous,4096,11,19.09190909090909,16.496135465952975,21.687682715865208,0.0,100.0,100.0,4207400.0,52028053.526,64.982,0.02190909090909091,0.010636363636363637,0.0018181818181818182,49200,0,0,8,,,
sensor_monitor,event_incremental,all_change,64,11,289.7518181818182,109.67341001883503,469.8302263448013,100.0,200.0,200.0,1899600.0,4954542.076,420.663,0.1,0.045454545454545456,0.01,8,64,0,64,,,
sensor_monitor,event_incremental,all_change,1024,11,2185.910909090909,1651.227233662274,2720.5945845195442,1700.0,2000.0,3500.0,8521000.0,512612.839,6556.352,100.0,0.5768181818181818,0.07727272727272727,8,1024,0,1024,,,
sensor_monitor,event_incremental,all_change,4096,11,10742.119545454545,7815.930822547537,13668.308268361554,8400.0,10700.0,39400.0,15876700.0,96037.17,28360.868,100.0,7.036363636363636,0.4486363636363636,8,4096,0,4096,,,
sensor_monitor,event_incremental,no_change,64,11,1.932090909090909,1.6494268440333872,2.214754974148431,0.0,100.0,100.0,37500.0,451739845.287,6.975,0.010454545454545454,0.0022727272727272726,0.0,8,64,0,0,,,
sensor_monitor,event_incremental,no_change,1024,11,1.5428181818181819,1.3716546171005037,1.71398174653586,0.0,100.0,100.0,27600.0,665183772.905,5.684,0.008181818181818182,0.0013636363636363637,0.0,8,1024,0,0,,,
sensor_monitor,event_incremental,no_change,4096,11,3.0821818181818186,1.7050336113750826,4.459330024988555,0.0,100.0,100.0,273100.0,468634840.289,7.271,0.022272727272727274,0.006363636363636364,0.00045454545454545455,8,4096,0,0,,,
sensor_monitor,event_incremental,one_percent,64,11,6.828363636363636,5.47549074516311,8.181236527564161,0.0,100.0,100.0,1499200.0,153541357.107,14.704,0.023636363636363636,0.007272727272727273,0.0009090909090909091,8,64,0,1,,,
sensor_monitor,event_incremental,one_percent,1024,11,22.49718181818182,19.146572063323216,25.84779157304042,0.0,100.0,100.0,1287200.0,50617139.742,68.563,0.018636363636363635,0.00909090909090909,0.0027272727272727275,8,1024,0,10,,,
sensor_monitor,event_incremental,one_percent,4096,11,77.69636363636363,66.60133832431815,88.79138894840911,100.0,100.0,200.0,1043100.0,12819362.365,259.327,0.06272727272727273,0.022727272727272728,0.005909090909090909,8,4096,0,40,,,
sensor_monitor,periodic_recompute,all_change,64,11,185.31227272727273,163.1350358316709,207.48950962287455,100.0,200.0,200.0,6708600.0,5476188.846,500.0,0.12272727272727273,0.06772727272727273,0.011818181818181818,0,64,0,64,event_incremental,0.6395551679023114,-36.04448320976886
sensor_monitor,periodic_recompute,all_change,1024,11,2450.008181818182,2017.7669652727527,2882.2493983636114,1800.0,2100.0,4200.0,6341800.0,420198.964,7275.22,100.0,0.535,0.06272727272727273,0,1024,0,1024,event_incremental,1.120817948997339,12.08179489973391
sensor_monitor,periodic_recompute,all_change,4096,11,10390.561363636363,8322.894502465439,12458.228224807288,7800.0,12700.0,55100.0,18806400.0,102160.438,31033.757,100.0,6.751818181818182,0.43727272727272726,0,4096,0,4096,event_incremental,0.9672729222263272,-3.2727077773672786
sensor_monitor,periodic_recompute,no_change,64,11,32.30327272727273,26.581339784804015,38.02520566974144,0.0,100.0,100.0,106000.0,30199619.485,106.304,0.01818181818181818,0.004090909090909091,0.00045454545454545455,0,64,0,64,event_incremental,16.719333741118902,1571.9333741118903
